,custnum_ouid,SITE_USE_CODE,addr
0,10239@,BILL_TO,臺北市內湖區內湖路1段91巷38弄24號地下1樓
1,10239@,BILL_TO,台北市內湖區內湖路一段91巷38弄24號
2,10239@,BILL_TO,台北市內湖路一段91巷38弄24號(吉鴻大樓)
3,10239@,BILL_TO,台北市內湖區民權路六段15巷28號
4,10239@,BILL_TO,台北市內湖區民權東路6段15巷28號
5,10239@,SHIP_TO,台北市內湖區民權東路6段15巷28號
6,10239@,BILL_TO,台北市內湖區民權東路六段15巷28號
7,10239@,SHIP_TO,台北市內湖區民權東路六段15巷28號
11,10239@,BILL_TO,"NO.28, LN. 15, SEC. 6,MINQUAN E. RD.,NEIHU DIST., TAIPEI CITY 11494,TAIWAN (R.O.C.)"
12,10239@,SHIP_TO,"NO.28, LN. 15, SEC. 6,MINQUAN E. RD.,NEIHU DIST., TAIPEI CITY 11494,TAIWAN (R.O.C.)"
16,10239@,DELIVER_TO,台北市內湖區內湖路一段91巷38弄24號
17,10239@,SHIP_TO,台北市內湖區內湖路一段91巷38弄24號
18,10239@,SHIP_TO,台北市內湖路一段91巷38弄24號(吉鴻大樓)
19,10239@,SHIP_TO,台北市內湖區民權路六段15巷28號
20,10288@,BILL_TO,桃園市龜山區華亞一路68號
21,10288@,SHIP_TO,桃園市龜山區華亞一路68號
24,10288@,BILL_TO,"7f.,no.66,hwa-ya 1st rd., kuei-shanhsiang taoyuan hsien,taiwan"
25,10288@,BILL_TO,桃園市龜山區華亞一路66號
27,10288@,BILL_TO,桃園市龜山區華亞一路66號7樓
28,10288@,SHIP_TO,桃園縣龜山鄉華亞一路68號(華亞亞科技園區)光遠收料處收
29,10288@,BILL_TO,龜山鄉華亞一路66號7樓
31,10288@,SHIP_TO,"No. 68,Hwa-Ya 1ST Rd., Kuei-Shan Hsiang,Taoyuan County ,"
32,10288@,SHIP_TO,(333)桃園縣龜山鄉華亞科技園區華亞一路68號
33,10288@,SHIP_TO,桃園市龜山區華亞一路68號(華亞亞科技園區)光遠收料處收
34,10551@,BILL_TO,新竹縣新豐鄉員山村2鄰40號
36,10551@,SHIP_TO,新竹縣新豐鄉員山村2鄰40號
46,10551@,SHIP_TO,"No.40 LIN 2, Yuan Shan Tsuen Hsin-Feng,Hsiang, Hsinchu Hsien, Taiwan"
49,10551@,DELIVER_TO,
54,10551@,DELIVER_TO,新竹縣新豐鄉員山村2鄰40號
56,1074@,BILL_TO,台北市內湖區行忠路70號1樓
57,1074@,BILL_TO,"NO.70, XINGZHONG RD., TAIPEI, TAIWAN R.O.C."
59,1074@,BILL_TO,"Transcend Information, Inc.台北市內湖區行忠路70號"
60,1074@,BILL_TO,"NO. 70 ,XINGZHONG RD.,NEIHU DIST. TAIPEI, TAIWAN, R.O.C"
61,1074@,DELIVER_TO,"NO. 70 ,XINGZHONG RD.,NEIHU DIST. TAIPEI, TAIWAN, R.O.C"
62,1074@,SHIP_TO,"NO. 70 ,XINGZHONG RD.,NEIHU DIST. TAIPEI, TAIWAN, R.O.C"
63,1074@,BILL_TO,台北市內湖區行忠路70號
64,1074@,BILL_TO,台北市內湖區行善路70號
65,1074@,SHIP_TO,台北市內湖區行善路70號
68,1074@,DELIVER_TO,"NO.70, XINGZHONG RD., TAIPEI, TAIWAN R.O.C."
69,1074@,SHIP_TO,"NO.70, XINGZHONG RD., TAIPEI, TAIWAN R.O.C."
72,1074@,BILL_TO,"NO.70, XINGZHONG RD., TAIPEI, TAIWANR.O.C."
73,1074@,DELIVER_TO,"NO.70, XINGZHONG RD., TAIPEI, TAIWANR.O.C."
74,1074@,SHIP_TO,"NO.70, XINGZHONG RD., TAIPEI, TAIWANR.O.C."
86,1074@,SHIP_TO,台北市內湖區行善路70號1樓(卸貨碼頭)
88,1074@,SHIP_TO,"1F., No.70, Xingzhong Rd., Neihu Dist.,Taipei City , Taiwan"
89,1074@,SHIP_TO,"No.70, Xingshan Rd., Neihu Dist., Taipei CityTAIWAN , R.O.C."
91,1074@,DELIVER_TO,台北市內湖區行善路70號
92,1074@,SHIP_TO,"No.70, Xingshan Rd.Neihu Dist Taipei City Taiwan台北市內湖區行善路70號"
96,10786@,BILL_TO,台北市內湖區瑞光路302號11樓
97,10786@,BILL_TO,台北市內湖區瑞光路302號8樓
101,10786@,SHIP_TO,台北市內湖區瑞光路302號11樓
105,10786@,SHIP_TO,台北市內湖區瑞光路302號8樓
107,10786@,SHIP_TO,"8F, No.302, Ruiguang Rd.,Neihu District,Taipei City,Taiwan"
109,10786@,SHIP_TO,"8F.,No.302,Ruiguang Rd.,Neihu Dist.,Taipei City,Taiwan "
111,112320@,BILL_TO,"Hon xing Road Sha Jiao Hu men Town Dong Guang CityGuang dong Province, China"
112,112320@,BILL_TO,"Hon xing Road Sha Jiao Hu men Town Dong Guang city,Guang dong Province, China. "
113,112320@,BILL_TO,"Offshore Chambers, P.O. Box 217,Apia,Samoa"
114,112320@,BILL_TO,"Vistra Corporate Services Centre, Ground FloorNPF Building, Beach Road, Apia, Samoa"
115,112320@,SHIP_TO,"Vistra Corporate Services Centre, Ground FloorNPF Building, Beach Road, Apia, Samoa"
116,112320@,DELIVER_TO,"23, Tai Tong Shan Rd, Yuen Long, N.T."
117,112320@,SHIP_TO,"23, Tai Tong Shan Rd, Yuen Long, N.T."
118,112320@,DELIVER_TO,"DD 129, Lau FauShan, Yuen Long, N. T., Hong Kong"
119,112320@,SHIP_TO,"DD 129, Lau FauShan, Yuen Long, N. T., Hong Kong"
120,112320@,SHIP_TO,"HONGXING ROAD,SHAJIAO, HUMEN TOWN,DONGGUAN CITY,GUANGDONG PROVINCE,CHINA."
121,112320@,DELIVER_TO,"23, Tai Tong Shan Rd, Yuen Long, N.T.Hong Kong"
122,112320@,SHIP_TO,"23, Tai Tong Shan Rd, Yuen Long, N.T.Hong Kong"
123,112320@,DELIVER_TO,"Unit B, 7F., Gemstar Tower, 23 Man Lok ST., Hung HomKowloon, Hong Kong"
124,112320@,DELIVER_TO,"香港九龍紅磡民樂街23號駿昇中心7樓B室Unit B, 7F., Gemstar Tower, 23 Man Lok ST.,Hung Hom, Kowloon, Hong Kong."
125,115761@,BILL_TO,"(KUN SHAN) CO.,LTD.NO.88, Jiangfeng Rd.,Zhangpu Town,Kunshan CityJIANGSU PROVINCE, CHINA"
126,115761@,BILL_TO,江蘇省昆山市張浦鎮江豐路88號
128,115761@,SHIP_TO,江蘇省昆山市張浦鎮江豐路88號
130,115761@,SHIP_TO,"(KUN SHAN) CO.,LTD.NO.88, Jiangfeng Rd.,Zhangpu Town,Kunshan CityJIANGSU PROVINCE, CHINA"
132,115761@,DELIVER_TO,"(KUN SHAN) CO.,LTD.NO.88, Jiangfeng Rd.,Zhangpu Town,Kunshan CityJIANGSU PROVINCE, CHINA"
134,115762@,BILL_TO,"98 Industrial City, Wanfeng Shajing BaoanDistrict,Shenzhen, China"
136,115762@,DELIVER_TO,"ROOM 32, 13/F, PROFIT INDUSTRIAL BUILDING,1-15 KWAI FUNG CRESCENT, KWAI FONG, N.T.,HONG KONG."
137,115762@,SHIP_TO,"ROOM 32, 13/F, PROFIT INDUSTRIAL BUILDING,1-15 KWAI FUNG CRESCENT, KWAI FONG, N.T.,HONG KONG."
138,115762@,DELIVER_TO,"UNIT C, 3/F., GEMSTAR TOWER ,23 MAN LOKSTREET, HUNGHOM,KOWLOON, HONG KONG."
139,115762@,SHIP_TO,"UNIT C, 3/F., GEMSTAR TOWER ,23 MAN LOKSTREET, HUNGHOM,KOWLOON, HONG KONG."
140,115762@,DELIVER_TO,"15 Yip Wo Street, On Lok Tsuen,Fanling,N.T,Hong Kong"
141,115762@,SHIP_TO,"15 Yip Wo Street, On Lok Tsuen,Fanling,N.T,Hong Kong"
146,1160@,BILL_TO,新北市中和區建一路150號11樓之2(E棟)
147,1160@,SHIP_TO,新北市中和區建一路150號11樓之2(E棟)
148,1160@,BILL_TO,"新北市中和區建一路150號11樓之2(E樓)11F., No.150-2, Jian 1st Rd., Zhonghe Dist.,New Taipei City , Taiwan(R.O.C.)"
150,1160@,SHIP_TO,"新北市中和區建一路150號11樓之2(E樓)11F., No.150-2, Jian 1st Rd., Zhonghe Dist.,New Taipei City , Taiwan(R.O.C.)"
158,1160@,BILL_TO,"11-2F,No.150,Jian Yi Rd., Chung Ho CityTaipei Country, Taiwan"
160,1160@,SHIP_TO,"11-2F,No.150,Jian Yi Rd., Chung Ho CityTaipei Country, Taiwan"
166,116119@,BILL_TO,新北市新店區復興里民權路52號9樓
167,116119@,BILL_TO,新北市新店區中正路495號5樓
170,116119@,SHIP_TO,新北市新店區復興里民權路52號9樓
171,116119@,SHIP_TO,新北市土城區中央路3段126巷21號5樓
173,116119@,SHIP_TO,新北市新店區中正路495號5樓
174,116119@,DELIVER_TO,新北市新店區中正路495號5樓
178,116119@,SHIP_TO,"5F., NO.495, ZHONGZHENG RD., XINDIAN DIST.,NEW TAIPEI CITY, TAIWAN"
179,117101@,BILL_TO,台北市中山區復興北路178號3樓之6
180,117101@,BILL_TO,"3F. -6, NO.178, Fuxing N. Rd., Zhongshan Dist.,Taipei City , Taiwan (R.O.C.) "
181,117101@,SHIP_TO,台北市中山區復興北路178號3樓之6
182,124560@,BILL_TO,"NO.88, Jiangfeng Rd., Zhangpu Town, KunshanCity, JIANGSU PROVINCE, CHINA"
183,124560@,SOLD_TO,江蘇省昆山市張浦鎮江豐路88號
184,124560@,BILL_TO,江蘇省昆山市張浦鎮江豐路88號
185,124560@,SHIP_TO,江蘇省昆山市張浦鎮江豐路88號
187,124560@,SHIP_TO,"NO.88, Jiangfeng Rd., Zhangpu Town, KunshanCity, JIANGSU PROVINCE, CHINA"
188,124560@,DELIVER_TO,"NO.88, Jiangfeng Rd., Zhangpu Town, KunshanCity, JIANGSU PROVINCE, CHINA"
190,1284@,BILL_TO,新竹市科學園區研發二路九號一樓
191,1284@,BILL_TO,"1F No. 9 R&D Road II, Science-Based IndustrialPark,Hsin-Chu , Taiwan. "
192,1284@,BILL_TO,"RAYSON TECHNOLOGY CO., LTD.1F No. 9 R&D Road II, Science-Based IndustrialPark, Hsin-Chu , Taiwan"
193,1284@,BILL_TO,"1F No. 9 R&D Road II, Science-Based Industrial Park,Hsin-Chu 300, Taiwan. Republic of China"
195,1284@,LEGAL,"1F No. 9 R&D Road II, Science-Based IndustrialPark,Hsin-Chu , Taiwan. "
196,1284@,MARKET,"1F No. 9 R&D Road II, Science-Based IndustrialPark,Hsin-Chu , Taiwan. "
198,1284@,BILL_TO,"1F NO. 9 R&D RD. 2,SCIENCE-BASED INDUSTRIAL PARK,HSIN-CHU 300, TAIWAN"
201,1284@,BILL_TO,"3F, NO. 3, R&D RD. II, SICENCE-BASEDINDUSTRIAL PARK, HSINCHU."
202,1284@,BILL_TO,"臺北市內湖區瑞光路550號5樓5F., No.550, Ruiguang Rd., Neihu Dist., Taipei City,Taiwan"
203,1284@,BILL_TO,臺北市內湖區瑞光路550號5樓
205,1284@,SHIP_TO,臺北市內湖區瑞光路550號5樓
206,1284@,BILL_TO,"1F No. 9 R&D Road II, Science-Based IndustrialPark,Hsin-Chu , Taiwan."
207,1284@,BILL_TO,新竹科學園區研發二路9號1樓
208,1284@,SHIP_TO,新竹科學園區研發二路9號1樓
209,1284@,BILL_TO,"1F., No.9, Yanfa 2nd Rd., East Dist., Hsinchu City 300, Taiwan"
210,1284@,BILL_TO,"1F., No.9, Yanfa 2nd Rd., East Dist.,Hsinchu City, Taiwan"
212,1284@,BILL_TO,"台北市內湖區瑞光路550號5樓5F., No.550, Ruiguang Rd., Neihu Dist., Taipei City,Taiwan"
215,1284@,BILL_TO,台北市民生東路三段133號11F B室
216,1284@,BILL_TO,台北市內湖區瑞光路550號2樓
217,1284@,BILL_TO,"Unit 6, 5/F, Block B, Po Lung Centre, 11 Wang Chiu Road, Kowloon Bay, Hong Kong"
218,1284@,LEGAL,"Unit 6, 5/F, Block B, Po Lung Centre, 11 Wang Chiu Road, Kowloon Bay, Hong Kong"
219,1284@,MARKET,"Unit 6, 5/F, Block B, Po Lung Centre, 11 Wang Chiu Road, Kowloon Bay, Hong Kong"
220,1284@,BILL_TO,"1 TONGFU ROAD, THE 2ND INDUSTRIAL"
221,1284@,BILL_TO,"No. 6, 5/F., Block B, Po Lung Centre, 11 Wang ChiuRoad, Kowloon Bay, Kowloon Hong Kong"
226,1284@,BILL_TO,新竹科學園區研發二路3號3樓
229,1284@,BILL_TO,"1F., No.9, Yanfa 2nd Rd., East Dist., Hsinchu City300, Taiwan"
230,1284@,DELIVER_TO,新竹市科學園區研發二路9號1樓
231,1284@,SHIP_TO,"No. 6, 5/F., Block B, Po Lung Centre, 11 Wang ChiuRoad, Kowloon Bay, Kowloon Hong Kong"
232,1284@,SHIP_TO,新竹市科學園區研發二路9號1樓
233,1284@,BILL_TO,新竹市科學園區研發二路9號1樓
235,1284@,SHIP_TO,香港九龍灣宏照道十一號寶隆中心B座5樓6室
236,1284@,DELIVER_TO,"No. 6, 5/F., Block B, Po Lung Centre, 11 Wang ChiuRoad, Kowloon Bay, Kowloon Hong Kong"
