CUSTOMER_NUMBER,CUSTOMER_ITEM_NUMBER
1455,4IZ01R8K01
1522,77060001XCG0
1333,MLB160808-0600A-N1
1509,847T5020CL0
1509,847T5021CL0
1509,E6QQTLP631CEBTR
2478,DIS 1SV270
2478,DIS 1SV322
2478,ICS TA75S393F
2478,TRS 2SA1586-GR
2478,TRS 2SA1586-GR
2615,11-239011
2615,11-239009
2615,11-239010A
2763,B200010063
2754,2SC1815-GR
2763,200010080
1455,4IB6000C01
2672,5IC-000010XA00M
2672,5TR-000043XA00I
2672,5TR-000026XA00M
1486,24100090
2545,86K1SK2865
2545,86K1SK2865
2545,86K1SK2865
1455,4IB6000C01X0
2763,B200010007
9680,AMC332601Z
9680,BC2712GR1Z
9891,NODDMBRM130000
9995,2512-301LT20
9995,2512-BAT85R0
9995,2702-4013BEZ
9995,2703-14093BZ
9995,2703-14093BZ
9995,2703-78M24CT
9995,2707-4066BFN
9995,2707-4W53FUZ
9995,2711-072CD00
9995,2711-082CD00
9995,2711-2003N-0
9995,2711-245A000
9995,2711-358DR00
9995,2711-3818D00
9995,2711-555P-00
9995,2711-7420N-0
9995,2711-74HC14N
9995,2711-7733QDR
9995,271174ACT04D
9995,271174HC04DR
9995,271174HC05DR
9995,271174HC08DR
9995,27117528CDWR
9995,2729-74F74DT
9995,2729-74HC151
9995,2729-74HC32Z
9995,2729-74HC32Z
9995,272974HC164D
9995,272974HC245P
9995,272974HC373P
9995,272974HC373P
9995,272974HC374P
9995,272974HC374P
9995,2765-93C8600
1151,1002-00024A
1151,1004-000690
1151,1004-00069A
1151,1007-000370
1151,1007-00062C
1151,1007-001090
1151,1007-00325B
1151,1007-003590
1151,1007-004540
1151,1007-00454A
1151,1007-005060
1151,1007-005370
1151,1007-005500
1151,1007-006050
1151,1007-006080
1151,1007-006130
1151,1007-006600
1151,1007-006660
1151,1007-006670
1151,1007-006680
1151,1007-00668A
1151,1007-00669A
1151,1007-00699A
1151,1007-007100
1151,1010-001490
1151,1010-00149A
1151,1012-003830
1151,1012-005400
1151,1012-006030
1151,1012-006590
1151,1014-000720
1151,1014-000720
1151,1099-00447A
1151,1099-004620
1151,1500-000160
1151,1500-00016A
1151,1500-00030B
1151,1500-000310
1151,1500-00032F
1151,1500-000660
1151,1500-000860
1151,1500-000970
1151,1500-001030
1151,1500-002040
1151,1500-002110
1151,1501-00041X
1151,1501-00045B
1151,1501-00045B
1151,1501-00045H
1151,1501-00059B
1151,1501-00059B
1151,1501-001100
1151,1501-001140
1151,1501-00135A
1151,1501-001510
1151,1501-00155C
1151,1501-001600
1151,1501-001770
1151,1501-001790C
1151,1501-00179C
1151,1501-001870
1151,1501-00187A
1151,1501-00200A
1151,1503-00019D
1151,1503-00019D
1151,1503-00025A
1151,1504-00007B
1151,1601-00037A
1151,1601-00037A
1151,1601-00037H
1151,1601-000630
1151,1601-000660
1151,1601-00066G
1151,1601-00067A
1151,1601-000690
1151,1601-000690
1151,1601-00165C
1151,1601-001860
1151,1601-001880
1151,1601-001910
1151,1601-002740
1151,1602-00062F
1151,1602-001470
1151,1602-001950
1151,1602-002040
1151,1602-002050
1151,1602-002080
1151,1602-002180
1151,1602-00221A
1193,1501-00155C
1193,1501-001600
1193,1501-001770
1193,1501-001790
1193,1501-001870
1193,1501-00187A
1193,1501-001890
1193,1501-001900
1193,1502-00019A
1193,1502-000780
1193,1502-000800
1193,1503-00019D
1193,1503-00025A
1193,1503-000290
1193,1503-000560
1193,1503-000980
1193,1503-00117A
1193,1503-001260
1193,1504-000020
1193,1599-000390
1193,1601-00037A
1193,1601-00037A
1193,1601-00058F
1193,1601-00060A
1193,1601-000630
1193,1601-00066A
1193,1601-000690
1193,1601-00082D
1193,1601-001450
1193,1601-001860
1193,1601-00268A
1193,1601-002740
1193,1601-002950
1193,1601-003230
1193,1601-003760
1193,1601-003790
1193,1601-004010
1193,1602-00045F
1193,1602-000620
1193,1602-001470
1193,1602-00159B
1193,1602-001950
1193,1602-001980
1193,1602-002040
1193,1602-002050
1193,1602-002080
1193,1602-002220
1193,1602-002260
1193,1602-002290
1193,1602-002300
1193,1002-000240
1193,1002-00024A
1193,1002-00093A
1193,1002-00093A
1193,1004-000690
1193,1004-00069A
1193,1007-00018C
1193,1007-00035B
1193,1007-000430
1193,1007-00062C
1193,1007-000820
1193,1007-001090
1193,1007-003160
1193,1007-00325B
1193,1007-00325F
1193,1007-003310
1193,1007-003590
1193,1007-004180
1193,1007-004290
1193,1007-004540
1193,1007-00454A
1193,1007-004550
1193,1007-004700
1193,1007-00506A
1193,1007-005340
1193,1007-00534A
1193,1007-005490
1193,1007-005500
1193,1007-00550A
1193,1007-005550
1193,1007-006040
1193,1007-006050
1193,1007-006080
1193,1007-006130
1193,1007-006420
1193,1007-006600
1193,1007-006650
1193,1007-006660
1193,1007-006670
1193,1007-006680
1193,1007-006690
1193,1007-006810
1193,1007-006810
1193,1007-006930
1193,1007-007100
1193,1009-000320
1193,1010-001410
1193,1010-001490
1193,1010-00149A
2763,B200010007
1455,4IB8001CA1
1455,4IB8001CA1X0
1509,847T6320CL0
2478,DIS 1SS268
2478,DIS 1SS314
2478,ICS TA31136FN
3874,S13TA31136
2478,ICS TA31142FN
2478,ICS TG2216TU
2478,TRS 2SA1162-GR
2672,5TR-000026XA00M
2615,11-339009
2478,DIS 1SV322
2754,2SC2712-GR
1944,1620047619000
1333,04.00817.030GG
1333,04.00817.030HG
2754,520202300G
2754,5202002300G
2754,52020070000
2672,5IC-000135XA000
2672,5IC-000135XA00O
2763,B200010014
2545,86K1SK2842
2615,11-309020
2615,11-239010A
2672,5TR-000076XA00O
2615,11-329007P
9995,2710-74LS10Z
9995,2711-1549IDR
9995,2711-306D000
9995,2711-705ACDR
9995,2711-74AS00D
9995,2711-7733QDR
9995,271174LS139N
9995,2729-74HC151
9995,ISP1362
1151,1000-009640
1151,1012-006540
1193,1000-009640
1151,1010-001470
1193,1010-001470
1151,1012-003740
1151,1012-006390
1193,1000-009420
1151,1013-001090
1151,1013-001480
1151,1016-000140
1151,1016-00014A
1151,1099-003940
1193,1502-000180
1193,1503-000540
1193,1602-00184X
1193,1000-014770
1193,1002-000810
1193,1003-000630
1193,1004-001380
1193,1007-004190
